id;tag;master;country;address;city;phone;postal_code;created_at
1;what action;true;Botswana;antagonise;Ames;1-668-923-7769 x446;ha when;2024-08-20T13:34:53
2;slowly these suddenly;false;Ireland;from forfeit harmless;Jefferson City;613.959.4879;flame observation opt;2024-08-20T12:39:41
3;hmph over reassuringly;false;Heard Island and McDonald Islands;accurate;New Erin;726.878.3577 x2738;blah hmph blaring;2024-08-21T05:13:02
4;unravel;false;Ireland;lovingly underneath;Ianfort;(609) 202-8268 x0725;donate calculating;2024-08-21T00:54:06
5;once gawk;false;Seychelles;wide-eyed answer clout;Cheektowaga;(815) 352-5234 x6582;by;2024-08-20T18:26:02
6;kiddingly tool;false;Aruba;tangible;Lake Leonardo;712-969-8459 x27006;sideburns unless;2024-08-20T17:56:20
7;as;true;Gambia;previous design;Fort Antoninabury;452-598-3173 x4959;austere;2024-08-20T19:38:17
8;entrance if;true;Turks and Caicos Islands;openly;Cormierton;784.485.4114 x4851;studious;2024-08-20T13:56:52
9;toward gathering quickly;false;Guatemala;domesticate afterwards;Wolffort;1-596-732-3935 x11393;about;2024-08-21T03:39:17
10;despite ounce;true;Bolivia;rose avail peg;Josefatown;209-937-1007 x9275;fairly phooey;2024-08-21T00:03:16
