id;number;status;ref_id;card_pan;card_hash;fee;is_successful;payable;created_at;updated_at
1;1976;bungalow not;yuck psst;devalue within bravely;defiant since;18906.36;false;13348.79;2024-08-20T23:48:52;2024-08-20T23:47:22
2;8071;eek;inasmuch;zowie granola plus;whether now;7742.25;false;4148.52;2024-08-20T21:21:27;2024-08-20T20:33:23
3;21750;upon mostly;true although vaguely;willing very pish;drill;14800.3;true;29096.03;2024-08-21T09:32:16;2024-08-20T17:26:21
4;8688;vigilant;aboard;zowie speedily;blah wherever in;8532.63;false;15980.15;2024-08-21T05:23:56;2024-08-20T21:29:24
5;10009;vaguely and deficient;because;off apud zowie;mammoth outside shin;1998.8;false;1467.87;2024-08-21T07:50:59;2024-08-20T11:12:45
6;26862;rout;refine amid armchair;big-hearted;whether since;32380.25;false;48.33;2024-08-20T16:05:03;2024-08-20T22:51:45
7;16871;whose whose amongst;flamboyant;once whoa equally;including;23788.88;true;26071.86;2024-08-20T12:02:56;2024-08-21T00:45:34
8;31610;ritual grotesque;strong slang;solidly yippee uh-huh;softly instead while;1388.89;true;29944.07;2024-08-21T06:05:28;2024-08-21T07:59:42
9;21186;lest;documentation;than;solidly ferociously shalt;28519.94;false;7826.6;2024-08-21T06:01:48;2024-08-20T15:28:49
10;30436;mid nor silently;overcooked supposing;inasmuch;treasured once wretched;164.6;true;14520.58;2024-08-21T09:30:45;2024-08-21T09:15:36
